Symbol	Name	Morningstar Category	NAV Return	NAV Return	Minimum Investment	Net Expense Ratio	No Transaction Fees	Morningstar Rating
PFIFX	 Principal SAM Flexible Income R5	 Allocation--15% to 30% Equity	 +3.96%	 +5.85%	 $0	 1.11%	  	5
PFIJX	 Principal SAM Flexible Income J	 Allocation--15% to 30% Equity	 +4.02%	 +5.87%	" $1,000"	 1.06%	  	5
PFILX	 Principal SAM Flexible Income R4	 Allocation--15% to 30% Equity	 +3.89%	 +5.71%	 $0	 1.23%	  	5
PGEJX	 George Putnam Balanced R6	 Allocation--50% to 70% Equity	 +7.72%	 +13.05%	 $0	 0.63%	  	5
PGELX	 George Putnam Balanced R5	 Allocation--50% to 70% Equity	 +7.63%	 +12.89%	 $0	 0.73%	  	5
PIFIX	 Principal SAM Flexible Income Inst	 Allocation--15% to 30% Equity	 +4.07%	 +6.10%	 $0	 0.86%	  	5
PIPAX	 PIMCO StocksPLUSÂ® Intl (USD-Hedged) A	 Foreign Large Blend	 +9.18%	 +27.32%	" $1,000"	 1.15%	  	5
PIPCX	 PIMCO StocksPLUSÂ® Intl (USD-Hedged) C	 Foreign Large Blend	 +8.84%	 +26.50%	" $1,000"	 1.90%	  	5
PIPDX	 PIMCO StocksPLUSÂ® Intl (USD-Hedged) D	 Foreign Large Blend	 +9.17%	 +27.28%	" $1,000"	 1.15%	 NTF	5
PIRHX	 PIMCO StocksPLUSÂ® Intl (USD-Hedged) R	 Foreign Large Blend	 +9.07%	 +27.11%	 $0	 1.40%	 NTF	5
PMAIX	 Pioneer Multi-Asset Income A	 Allocation--30% to 50% Equity	 +9.66%	 +18.36%	" $1,000"	 1.22%	 NTF	5
PMFRX	 Pioneer Multi-Asset Income R	 Allocation--30% to 50% Equity	 +9.46%	 +17.85%	 $0	 1.74%	  	5
POGSX	 Pin Oak Equity	 Large Blend	 +5.70%	 +27.20%	" $2,000"	 1.08%	 NTF	5
POSKX	 PRIMECAP Odyssey Stock 	 Large Blend	 +11.82%	 +26.94%	" $2,000"	 0.69%	  	5
PREVX	 Putnam RetirementReady 2055 R6	 Target-Date 2055	 +8.89%	 +17.32%	 $0	 0.70%	  	5
PRRFX	 Putnam RetirementReady 2055 A	 Target-Date 2055	 +8.68%	 +16.83%	 $0	 1.12%	 NTF	5
PRTLX	 Putnam RetirementReady 2055 Y	 Target-Date 2055	 +8.80%	 +17.21%	 $0	 0.87%	  	5
PSSIX	 Principal SmallCap S&P 600 Index Inst	 Small Blend	 +2.74%	 +22.27%	 $0	 0.21%	  	5
QIVYX	 Oppenheimer International Equity Y	 Foreign Large Blend	 +19.66%	 +21.78%	 $0	 1.07%	  	5
RAMHX	 American Funds American Balanced R2E	 Allocation--50% to 70% Equity	 +6.39%	 +9.84%	 $250	 1.08%	  	5
RBBAX	 Columbia Income Builder A	 Allocation--15% to 30% Equity	 +3.85%	 +7.93%	" $2,000"	 1.01%	  	5
RBEEX	 American Funds 2030 Trgt Date Retire R2E	 Target-Date 2030	 +8.72%	 +12.65%	 $250	 1.19%	  	5
RBEFX	 American Funds 2035 Trgt Date Retire R2E	 Target-Date 2035	 +9.88%	 +14.56%	 $250	 1.21%	  	5
RBEKX	 American Funds 2040 Trgt Date Retire R2E	 Target-Date 2040	 +10.26%	 +15.24%	 $250	 1.22%	  	5
RBEMX	 American Funds 2055 Trgt Date Retire R2E	 Target-Date 2055	 +10.46%	 +15.82%	 $250	 1.23%	  	5
RBHEX	 American Funds 2050 Trgt Date Retire R2E	 Target-Date 2050	 +10.46%	 +15.79%	 $250	 1.22%	  	5
RBHHX	 American Funds 2045 Trgt Date Retire R2E	 Target-Date 2045	 +10.37%	 +15.69%	 $250	 1.22%	  	5
RCETX	 American Funds 2030 Trgt Date Retire R3	 Target-Date 2030	 +8.78%	 +12.80%	 $250	 1.08%	  	5
RCFTX	 American Funds 2035 Trgt Date Retire R3	 Target-Date 2035	 +9.94%	 +14.73%	 $250	 1.09%	  	5
RCHTX	 American Funds 2045 Trgt Date Retire R3	 Target-Date 2045	 +10.46%	 +15.85%	 $250	 1.11%	  	5
RCITX	 American Funds 2050 Trgt Date Retire R3	 Target-Date 2050	 +10.53%	 +15.98%	 $250	 1.11%	  	5
RCKTX	 American Funds 2040 Trgt Date Retire R3	 Target-Date 2040	 +10.40%	 +15.53%	 $250	 1.11%	  	5
RCMTX	 American Funds 2055 Trgt Date Retire R3	 Target-Date 2055	 +10.52%	 +15.93%	 $250	 1.12%	  	5
RDETX	 American Funds 2030 Trgt Date Retire R4	 Target-Date 2030	 +8.89%	 +13.13%	 $250	 0.77%	  	5
RDFTX	 American Funds 2035 Trgt Date Retire R4	 Target-Date 2035	 +10.11%	 +15.10%	 $250	 0.78%	  	5
RDGTX	 American Funds 2040 Trgt Date Retire R4	 Target-Date 2040	 +10.49%	 +15.83%	 $250	 0.79%	  	5
RDHTX	 American Funds 2045 Trgt Date Retire R4	 Target-Date 2045	 +10.69%	 +16.18%	 $250	 0.79%	  	5
RDITX	 American Funds 2050 Trgt Date Retire R4	 Target-Date 2050	 +10.70%	 +16.36%	 $250	 0.79%	  	5
RDJTX	 American Funds 2055 Trgt Date Retire R4	 Target-Date 2055	 +10.71%	 +16.31%	 $250	 0.81%	  	5
REATX	 American Funds 2010 Trgt Date Retire R5	 Target-Date 2000-2010	 +5.19%	 +6.96%	 $250	 0.41%	  	5
RECTX	 American Funds 2020 Trgt Date Retire R5	 Target-Date 2020	 +6.52%	 +8.96%	 $250	 0.42%	  	5
REDTX	 American Funds 2025 Trgt Date Retire R5	 Target-Date 2025	 +7.64%	 +10.82%	 $250	 0.44%	  	5
REEAX	 RBC Emerging Markets Equity A	 Diversified Emerging Mkts	 +18.50%	 +16.24%	" $1,000"	 0.99%	 NTF	5
REETX	 American Funds 2030 Trgt Date Retire R5	 Target-Date 2030	 +9.05%	 +13.46%	 $250	 0.46%	  	5
REFTX	 American Funds 2035 Trgt Date Retire R5	 Target-Date 2035	 +10.35%	 +15.50%	 $250	 0.47%	  	5
REGTX	 American Funds 2040 Trgt Date Retire R5	 Target-Date 2040	 +10.64%	 +16.13%	 $250	 0.48%	  	5
REHTX	 American Funds 2045 Trgt Date Retire R5	 Target-Date 2045	 +10.82%	 +16.55%	 $250	 0.49%	  	5
REITX	 American Funds 2050 Trgt Date Retire R5	 Target-Date 2050	 +10.84%	 +16.66%	 $250	 0.49%	  	5
REJTX	 American Funds 2015 Trgt Date Retire R5	 Target-Date 2015	 +5.56%	 +7.65%	 $250	 0.40%	  	5
REKTX	 American Funds 2055 Trgt Date Retire R5	 Target-Date 2055	 +10.88%	 +16.72%	 $250	 0.50%	  	5
RFDTX	 American Funds 2025 Trgt Date Retire R6	 Target-Date 2025	 +7.58%	 +10.81%	 $250	 0.39%	  	5
RFETX	 American Funds 2030 Trgt Date Retire R6	 Target-Date 2030	 +9.09%	 +13.46%	 $250	 0.41%	  	5
RFFTX	 American Funds 2035 Trgt Date Retire R6	 Target-Date 2035	 +10.30%	 +15.51%	 $250	 0.42%	  	5
RFGTX	 American Funds 2040 Trgt Date Retire R6	 Target-Date 2040	 +10.67%	 +16.22%	 $250	 0.43%	  	5
RFHTX	 American Funds 2045 Trgt Date Retire R6	 Target-Date 2045	 +10.86%	 +16.66%	 $250	 0.43%	  	5
RFITX	 American Funds 2050 Trgt Date Retire R6	 Target-Date 2050	 +10.87%	 +16.75%	 $250	 0.43%	  	5
RFJTX	 American Funds 2015 Trgt Date Retire R6	 Target-Date 2015	 +5.58%	 +7.62%	 $250	 0.35%	  	5
RFKTX	 American Funds 2055 Trgt Date Retire R6	 Target-Date 2055	 +10.94%	 +16.74%	 $250	 0.45%	  	5
RFNFX	 American Funds Fundamental Invs R5	 Large Blend	 +10.08%	 +19.37%	 $250	 0.35%	  	5
RFNGX	 American Funds Fundamental Invs R6	 Large Blend	 +10.10%	 +19.42%	 $250	 0.31%	  	5
RFTTX	 American Funds 2010 Trgt Date Retire R6	 Target-Date 2000-2010	 +5.30%	 +7.12%	 $250	 0.35%	  	5
RHATX	 American Funds 2010 Trgt Date Retire R5E	 Target-Date 2000-2010	 +5.13%	 +6.85%	 $250	 0.50%	  	5
RHBTX	 American Funds 2015 Trgt Date Retire R5E	 Target-Date 2015	 +5.51%	 +7.47%	 $250	 0.49%	  	5
RHCTX	 American Funds 2020 Trgt Date Retire R5E	 Target-Date 2020	 +6.40%	 +8.81%	 $250	 0.51%	  	5
RHDTX	 American Funds 2025 Trgt Date Retire R5E	 Target-Date 2025	 +7.63%	 +10.69%	 $250	 0.53%	  	5
RHETX	 American Funds 2030 Trgt Date Retire R5E	 Target-Date 2030	 +9.06%	 +13.36%	 $250	 0.55%	  	5
RHFTX	 American Funds 2035 Trgt Date Retire R5E	 Target-Date 2035	 +10.28%	 +15.32%	 $250	 0.56%	  	5
RHGTX	 American Funds 2040 Trgt Date Retire R5E	 Target-Date 2040	 +10.58%	 +16.06%	 $250	 0.57%	  	5
RHHTX	 American Funds 2045 Trgt Date Retire R5E	 Target-Date 2045	 +10.78%	 +16.43%	 $250	 0.58%	  	5
RHITX	 American Funds 2050 Trgt Date Retire R5E	 Target-Date 2050	 +10.79%	 +16.51%	 $250	 0.58%	  	5
RHJTX	 American Funds 2055 Trgt Date Retire R5E	 Target-Date 2055	 +10.78%	 +16.56%	 $250	 0.58%	  	5
RIMIX	 City National Rochdale Emerg Mkts N	 Diversified Emerging Mkts	 +24.23%	 +23.53%	 $0	 1.63%	 NTF	5
RLBCX	 American Funds American Balanced R3	 Allocation--50% to 70% Equity	 +6.45%	 +10.00%	 $250	 0.93%	  	5
RLBEX	 American Funds American Balanced R4	 Allocation--50% to 70% Equity	 +6.67%	 +10.34%	 $250	 0.64%	  	5
RLBFX	 American Funds American Balanced R5	 Allocation--50% to 70% Equity	 +6.81%	 +10.71%	 $250	 0.34%	  	5
RLBGX	 American Funds American Balanced R6	 Allocation--50% to 70% Equity	 +6.84%	 +10.73%	 $250	 0.29%	  	5
RLEFX	 American Funds American Balanced R5E	 Allocation--50% to 70% Equity	 +6.74%	 +10.55%	 $250	 0.42%	  	5
RNEBX	 American Funds New World R2E	 Diversified Emerging Mkts	 +16.92%	 +18.58%	 $250	 1.45%	  	5
RNWAX	 American Funds New World R1	 Diversified Emerging Mkts	 +16.72%	 +18.13%	 $250	 1.83%	  	5
RNWBX	 American Funds New World R2	 Diversified Emerging Mkts	 +16.74%	 +18.23%	 $250	 1.79%	  	5
RNWCX	 American Funds New World R3	 Diversified Emerging Mkts	 +17.00%	 +18.74%	 $250	 1.34%	  	5
RNWEX	 American Funds New World R4	 Diversified Emerging Mkts	 +17.18%	 +19.12%	 $250	 1.01%	  	5
RNWFX	 American Funds New World R5	 Diversified Emerging Mkts	 +17.37%	 +19.49%	 $250	 0.71%	  	5
RNWGX	 American Funds New World R6	 Diversified Emerging Mkts	 +17.39%	 +19.55%	 $250	 0.65%	  	5
RNWHX	 American Funds New World R5E	 Diversified Emerging Mkts	 +17.29%	 +19.25%	 $250	 0.80%	  	5
RRCTX	 American Funds 2020 Trgt Date Retire R6	 Target-Date 2020	 +6.53%	 +9.03%	 $250	 0.37%	  	5
SAUPX	 Principal SAM Flexible Income A	 Allocation--15% to 30% Equity	 +3.91%	 +5.76%	" $1,000"	 1.18%	 NTF	5
SFAAX	 Wells Fargo Index Asset Allocation A	 Allocation--50% to 70% Equity	 +5.55%	 +9.63%	" $1,000"	 1.10%	 NTF	5
SICNX	 SchwabÂ® International Core Equity	 Foreign Large Blend	 +17.25%	 +23.32%	 $100	 0.86%	 NTF	5
SMCIX	 Shelton S&P Smallcap Index Direct	 Small Blend	 +2.88%	 +21.07%	" $1,000"	 0.74%	 NTF	5
SMDIX	 Hartford Schroders US S/M-Cap Opps I	 Mid-Cap Blend	 +7.30%	 +18.23%	" $2,000"	 1.00%	  	5
SMDVX	 Hartford Schroders US S/M-Cap Opps A	 Mid-Cap Blend	 +7.18%	 +17.91%	" $2,000"	 1.26%	 NTF	5
SMGIX	 Columbia Contrarian Core Z	 Large Blend	 +10.89%	 +17.79%	" $2,000"	 0.81%	  	5
SUWTX	 Deutsche Core Equity R	 Large Blend	 +8.36%	 +18.51%	 $0	 1.26%	  	5
SUWZX	 Deutsche Core Equity R6	 Large Blend	 +8.80%	 +19.48%	 $0	 0.50%	  	5
SWDRX	 Schwab Target 2030	 Target-Date 2030	 +8.83%	 +14.00%	 $100	 0.57%	  	5
SWERX	 Schwab Target 2040	 Target-Date 2040	 +10.17%	 +17.05%	 $100	 0.66%	  	5
TAAIX	 Thrivent Aggressive Allocation S	 Allocation--85%+ Equity	 +10.33%	 +20.63%	" $2,000"	 0.88%	  	5
TAIFX	 American Funds TxAdvtg Inc F1	 Allocation--30% to 50% Equity	 +6.81%	 +7.93%	 $250	 0.76%	 NTF	5
TASKX	 Transamerica Strategic High Income Adv	 Allocation--30% to 50% Equity	 +6.26%	 +12.23%	" $1,000"	 0.95%	  	5
TCFPX	 TIAA-CREF Lifecycle 2015 Premier	 Target-Date 2015	 +6.88%	 +10.27%	 $0	 0.53%	  	5
TCHPX	 TIAA-CREF Lifecycle 2030 Premier	 Target-Date 2030	 +9.20%	 +15.00%	 $0	 0.57%	  	5
TCLHX	 TIAA-CREF Lifecycle 2010 Advisor	 Target-Date 2000-2010	 +6.48%	 +9.56%	 $0	 0.45%	  	5
TCLPX	 TIAA-CREF Lifecycle 2050 Premier	 Target-Date 2050	 +11.03%	 +18.85%	 $0	 0.60%	  	5
TCQPX	 TIAA-CREF Lifecycle 2025 Premier	 Target-Date 2025	 +8.40%	 +13.35%	 $0	 0.56%	  	5
TCSWX	 Transamerica Strategic High Income T1	 Allocation--30% to 50% Equity	 +6.14%	 +11.96%	" $1,000"	 1.20%	  	5
TCTPX	 TIAA-CREF Lifecycle 2010 Premier	 Target-Date 2000-2010	 +6.30%	 +9.34%	 $0	 0.52%	  	5
TCWPX	 TIAA-CREF Lifecycle 2020 Premier	 Target-Date 2020	 +7.69%	 +11.77%	 $0	 0.55%	  	5
TCYPX	 TIAA-CREF Lifecycle 2035 Premier	 Target-Date 2035	 +9.88%	 +16.42%	 $0	 0.58%	  	5
TCZPX	 TIAA-CREF Lifecycle 2040 Premier	 Target-Date 2040	 +10.62%	 +17.96%	 $0	 0.59%	  	5
TFTHX	 TIAA-CREF Lifecycle 2050 Advisor	 Target-Date 2050	 +11.18%	 +19.01%	 $0	 0.53%	  	5
TILDX	 Centaur Total Return	 Allocation--50% to 70% Equity	 +5.76%	 +11.68%	" $1,500"	 2.06%	  	5
TIVFX	 Tocqueville International Value	 Foreign Large Blend	 +14.27%	 +16.64%	" $1,000"	 1.26%	 NTF	5
TLLHX	 TIAA-CREF Lifecycle Index 2050 Advisor	 Target-Date 2050	 +10.20%	 +17.50%	 $0	 0.18%	  	5
TLLPX	 TIAA-CREF Lifecycle Index 2050 Premier	 Target-Date 2050	 +10.18%	 +17.37%	 $0	 0.25%	  	5
TLMHX	 TIAA-CREF Lifecycle Index 2045 Advisor	 Target-Date 2045	 +10.16%	 +17.26%	 $0	 0.18%	  	5
TLMPX	 TIAA-CREF Lifecycle Index 2045 Premier	 Target-Date 2045	 +10.01%	 +17.06%	 $0	 0.25%	  	5
TLPRX	 TIAA-CREF Lifecycle Index 2040 Premier	 Target-Date 2040	 +9.76%	 +16.43%	 $0	 0.25%	  	5
TLYHX	 TIAA-CREF Lifecycle Index 2035 Advisor	 Target-Date 2035	 +9.10%	 +14.94%	 $0	 0.18%	  	5
TLZHX	 TIAA-CREF Lifecycle Index 2040 Advisor	 Target-Date 2040	 +9.78%	 +16.56%	 $0	 0.18%	  	5
TMSIX	 Thrivent Mid Cap Stock S	 Mid-Cap Blend	 +7.27%	 +30.26%	" $2,000"	 0.72%	  	5
TSAHX	 TIAA-CREF Lifestyle Aggressive Gr Adv	 Allocation--85%+ Equity	 +11.95%	 +20.39%	 $0	 0.64%	  	5
TSAPX	 TIAA-CREF Lifestyle Aggressive Gr Prem	 Allocation--85%+ Equity	 +11.85%	 +20.18%	 $0	 0.71%	  	5
TSARX	 TIAA-CREF Lifestyle Aggressive Gr Retire	 Allocation--85%+ Equity	 +11.82%	 +20.10%	 $0	 0.81%	 NTF	5
TTFHX	 TIAA-CREF Lifecycle 2045 Advisor	 Target-Date 2045	 +11.02%	 +18.79%	 $0	 0.53%	  	5
TTFPX	 TIAA-CREF Lifecycle 2045 Premier	 Target-Date 2045	 +10.96%	 +18.74%	 $0	 0.60%	  	5
TTIHX	 TIAA-CREF Lifecycle Index 2055 Advisor	 Target-Date 2055	 +10.39%	 +17.82%	 $0	 0.18%	  	5
TTIPX	 TIAA-CREF Lifecycle Index 2055 Premier	 Target-Date 2055	 +10.25%	 +17.66%	 $0	 0.25%	  	5
TTRHX	 TIAA-CREF Lifecycle 2055 Advisor	 Target-Date 2055	 +11.22%	 +19.25%	 $0	 0.53%	  	5
TXIFX	 American Funds TxAdvtg Inc F2	 Allocation--30% to 50% Equity	 +6.89%	 +8.15%	 $250	 0.50%	  	5
TYIFX	 American Funds Tx-Advtg Inc F3	 Allocation--30% to 50% Equity	 +6.95%	 +8.21%	 $250	 0.39%	  	5
UMBMX	 Scout Mid Cap 	 Mid-Cap Blend	 +9.22%	 +22.93%	" $1,000"	 1.04%	 NTF	5
VALIX	 Value Line Income & Growth Investor	 Allocation--70% to 85% Equity	 +14.29%	 +19.47%	" $1,000"	 1.16%	 NTF	5
VREMX	 Virtus Vontobel Emerging Markets Opps R6	 Diversified Emerging Mkts	 +22.86%	 +14.82%	 $0	 1.20%	  	5
VRISX	 Virtus KAR International Small-Cap R6	 Foreign Small/Mid Blend	 +18.74%	 +35.30%	 $0	 1.24%	  	5
VTWNX	 Vanguard Target Retirement 2020 Inv 	 Target-Date 2020	 +7.01%	 +10.30%	" $1,000"	 0.14%	  	5
VTXVX	 Vanguard Target Retirement 2015 Inv 	 Target-Date 2015	 +5.79%	 +8.13%	" $1,000"	 0.14%	  	5
AAAUX	 American Century Strat Allc: Agrsv R6	 Allocation--70% to 85% Equity	 +9.62%	 +14.93%	 $0	 0.76%	  	4
AACDX	 American Century Strat Allc: Cnsrv R6	 Allocation--30% to 50% Equity	 +5.66%	 +7.62%	 $0	 0.65%	  	4
AACGX	 American Century Strat Allc: Cnsrv R5	 Allocation--30% to 50% Equity	 +5.52%	 +7.28%	 $0	 0.80%	  	4
AAEMX	 Alger Emerging Markets A	 Diversified Emerging Mkts	 +20.43%	 +21.72%	" $1,000"	 1.55%	 NTF	4
AAHYX	 Thrivent Diversified Income Plus A	 Allocation--30% to 50% Equity	 +5.00%	 +8.70%	" $2,000"	 1.07%	 NTF	4
ABGNX	 American Century Balanced R5	 Allocation--50% to 70% Equity	 +6.27%	 +10.32%	 $0	 0.71%	  	4
ABKEX	 AB Emerging Markets Multi-Asset K	 Diversified Emerging Mkts	 +11.82%	 +12.72%	 $0	 1.24%	  	4
ABREX	 AB Emerging Markets Multi-Asset R	 Diversified Emerging Mkts	 +11.69%	 +12.47%	 $0	 1.49%	  	4
ABYEX	 AB Emerging Markets Multi-Asset Advisor	 Diversified Emerging Mkts	 +12.00%	 +13.06%	 $0	 0.99%	  	4
ACCBX	 Invesco Corporate Bond A	 Corporate Bond	 +5.04%	 +5.17%	" $1,000"	 0.90%	  	4
ACCHX	 Invesco Corporate Bond Y	 Corporate Bond	 +5.02%	 +5.29%	" $1,000"	 0.65%	  	4
ACCZX	 Invesco Corporate Bond R	 Corporate Bond	 +4.76%	 +4.76%	 $0	 1.15%	  	4
ACEIX	 Invesco Equity and Income A	 Allocation--50% to 70% Equity	 +4.15%	 +17.49%	" $1,000"	 0.80%	  	4
ACERX	 Invesco Equity and Income C	 Allocation--50% to 70% Equity	 +3.73%	 +16.59%	" $1,000"	 1.53%	  	4
ACESX	 Invesco Equity and Income R	 Allocation--50% to 70% Equity	 +4.00%	 +17.22%	 $0	 1.05%	  	4
AESAX	 Voya Small Company A	 Small Blend	 +3.06%	 +20.94%	" $1,000"	 1.36%	 NTF	4
AFIFX	 American Funds Fundamental Invs F1	 Large Blend	 +9.91%	 +19.01%	 $250	 0.68%	 NTF	4
AIEMX	 Alger Emerging Markets I	 Diversified Emerging Mkts	 +20.43%	 +21.73%	 $0	 1.55%	  	4
ALAAX	 Invesco Income Allocation A	 Allocation--30% to 50% Equity	 +4.61%	 +7.08%	" $1,000"	 0.83%	  	4
ALAYX	 Invesco Income Allocation Y	 Allocation--30% to 50% Equity	 +4.74%	 +7.35%	" $1,000"	 0.58%	  	4
ALBAX	 Alger Growth & Income A	 Large Blend	 +9.40%	 +18.09%	" $1,000"	 1.14%	 NTF	4
ALBCX	 Alger Growth & Income C	 Large Blend	 +8.97%	 +17.21%	" $1,000"	 1.88%	  	4
AMANX	 Amana Income Investor	 Large Blend	 +9.35%	 +10.96%	 $250	 1.15%	 NTF	4
AMTCX	 Columbia Capital Allocation Moderate C	 Allocation--30% to 50% Equity	 +7.03%	 +9.85%	" $2,000"	 1.83%	  	4
AOBLX	 Pioneer Classic Balanced A	 Allocation--50% to 70% Equity	 +6.41%	 +10.60%	" $1,000"	 1.24%	 NTF	4
APIUX	 Yorktown Multi-Asset Income A	 Allocation--30% to 50% Equity	 +5.39%	 +13.20%	" $1,000"	 2.52%	  	4
ARDOX	 American Century One Choice 2045 R6	 Target-Date 2045	 +8.57%	 +14.05%	 $0	 0.68%	  	4
AREUX	 American Century One Choice 2055 R6	 Target-Date 2055	 +9.22%	 +15.35%	 $0	 0.71%	  	4
ARFEX	 American Century One Choice 2050 R6	 Target-Date 2050	 +9.05%	 +14.81%	 $0	 0.70%	  	4
ARSMX	 AMG River Road Small-Mid Cap Value N	 Small Blend	 +10.61%	 +28.29%	" $2,000"	 1.40%	 NTF	4
ASAUX	 American Century Strat Allc: Agrsv R5	 Allocation--70% to 85% Equity	 +9.43%	 +14.43%	 $0	 0.91%	  	4
AURBX	 Columbia Capital Allocation Moderate B	 Allocation--30% to 50% Equity	 +7.01%	 +9.92%	" $2,000"	 1.83%	  	4
AXBAX	 Columbia Capital Allocation Agrsv A	 Allocation--70% to 85% Equity	 +10.66%	 +16.39%	" $2,000"	 1.22%	  	4
AZBAX	 AllianzGI Small-Cap Blend A	 Small Blend	 +8.10%	 +22.82%	" $1,000"	 1.31%	 NTF	4
AZMCX	 AllianzGI NFJ Emerging Markets Value C	 Diversified Emerging Mkts	 +20.12%	 +25.26%	" $1,000"	 1.89%	  	4
AZNAX	 AllianzGI Income & Growth A	 Allocation--30% to 50% Equity	 +6.49%	 +13.88%	" $1,000"	 1.29%	 NTF	4
AZNCX	 AllianzGI Income & Growth C	 Allocation--30% to 50% Equity	 +6.06%	 +13.08%	" $1,000"	 2.04%	  	4
BACHX	 BlackRock Emerging Markets Div Inv A	 Diversified Emerging Mkts	 +20.50%	 +22.83%	" $1,000"	 1.75%	 NTF	4
BACPX	 BlackRock 20/80 Target Allocation Inv A	 Allocation--15% to 30% Equity	 +3.86%	 +4.17%	" $1,000"	 0.89%	 NTF	4
BAMPX	 BlackRock 40/60 Target Allocation Inv A	 Allocation--30% to 50% Equity	 +5.61%	 +7.56%	" $1,000"	 0.90%	 NTF	4
BAPCX	 BlackRock LifePathÂ® Smart Beta 2020 InvA	 Target-Date 2020	 +7.66%	 +11.59%	" $1,000"	 0.57%	 NTF	4
BAPDX	 BlackRock LifePathÂ® Smart Beta 2025 InvA	 Target-Date 2025	 +8.56%	 +13.23%	" $1,000"	 0.56%	 NTF	4
BAQAX	 Brown Advisory Somerset Emgerg Mkts Adv	 Diversified Emerging Mkts	 +19.04%	 +17.65%	 $100	 1.58%	 NTF	4
BATIX	 BMO TCH Corporate Income A	 Corporate Bond	 +4.04%	 +6.74%	" $1,000"	 0.60%	 NTF	4
BAUAX	 Brown Advisory Sm-Cp Fundamental Val Adv	 Small Blend	 +2.47%	 +19.29%	 $100	 1.63%	 NTF	4
BCCAX	 BMO Small-Cap Core A	 Small Blend	 +1.85%	 +23.53%	" $1,000"	 1.15%	 NTF	4
BEECX	 BlackRock Total Emerging Markets Inv C	 Diversified Emerging Mkts	 +11.41%	 +10.16%	" $1,000"	 1.93%	  	4
BFCFX	 American Funds Corporate Bond F1	 Corporate Bond	 +3.48%	 +1.63%	 $250	 0.95%	 NTF	4
BFCGX	 American Funds Corporate Bond F2	 Corporate Bond	 +3.65%	 +1.90%	 $250	 0.67%	  	4
BIAQX	 Brown Advisory Somerset Emgerg Mkts Inv	 Diversified Emerging Mkts	 +19.13%	 +17.90%	 $100	 1.33%	  	4
BIAUX	 Brown Advisory Sm-Cp Fundamental Val Inv	 Small Blend	 +2.61%	 +19.54%	 $100	 1.38%	  	4
BLPDX	 American Funds Balanced F3	 Allocation--50% to 70% Equity	 +8.82%	 +11.36%	 $250	 0.40%	  	4
BLPEX	 American Funds Balanced Portfolio F2	 Allocation--50% to 70% Equity	 +8.76%	 +11.36%	 $250	 0.51%	  	4
BLPFX	 American Funds Balanced Portfolio F1	 Allocation--50% to 70% Equity	 +8.64%	 +11.07%	 $250	 0.77%	 NTF	4
BMBTX	 BMO Moderate Allocation R6	 Allocation--30% to 50% Equity	 +5.65%	 +9.12%	 $0	 0.62%	  	4
BNICX	 UBS International Sustainable Equity C	 Foreign Large Blend	 +15.29%	 +20.56%	" $1,000"	 2.00%	  	4
BNIEX	 UBS International Sustainable Equity A	 Foreign Large Blend	 +15.70%	 +21.43%	" $1,000"	 1.25%	  	4
BRACX	 BlackRock Allocation Target Shrs Ser C	 Corporate Bond	 +3.86%	 +2.28%	 $0	 0.01%	  	4
BRCPX	 BlackRock 20/80 Target Allocation R	 Allocation--15% to 30% Equity	 +3.69%	 +3.78%	 $100	 1.20%	 NTF	4
BRLIX	 Bridgeway Blue Chip 35 Index	 Large Blend	 +6.11%	 +14.33%	" $2,000"	 0.15%	  	4
BRMPX	 BlackRock 40/60 Target Allocation R	 Allocation--30% to 50% Equity	 +5.54%	 +7.33%	 $100	 1.06%	 NTF	4
BRPCX	 BlackRock LifePathÂ® Smart Beta 2020 R	 Target-Date 2020	 +7.62%	 +11.33%	 $100	 0.81%	  	4
BRUFX	 Bruce	 Allocation--50% to 70% Equity	 +7.59%	 +3.74%	" $1,000"	 0.70%	  	4
BSPAX	 iShares S&P 500 Index Investor A	 Large Blend	 +9.13%	 +17.47%	" $1,000"	 0.36%	 NTF	4
BTIRX	 Deutsche Equity 500 Index R6	 Large Blend	 +9.13%	 +17.49%	 $0	 0.24%	  	4
BTRGX	 BMO Target Retirement 2020 R6	 Target-Date 2020	 +7.60%	 +12.07%	 $0	 0.63%	  	4
CAGRX	 Columbia Capital Allocation Agrsv K	 Allocation--70% to 85% Equity	 +10.63%	 +16.42%	 $0	 1.17%	  	4
CAIYX	 Calvert Aggressive Allocation Y	 Allocation--85%+ Equity	 +10.23%	 +18.41%	" $2,000"	 0.73%	  	4
CALYX	 Calvert Conservative Allocation Y	 Allocation--30% to 50% Equity	 +5.34%	 +8.44%	" $2,000"	 0.75%	  	4
CAMKX	 Columbia Capital Allocation Mod Agrsv K	 Allocation--50% to 70% Equity	 +9.12%	 +13.60%	 $0	 1.10%	  	4
CAPEX	 Eaton Vance Tx-Mgd Growth 1.0	 Large Blend	 +9.15%	 +17.83%	 $0	 --	  	4
CBAAX	 American Funds Balanced Portfolio 529A	 Allocation--50% to 70% Equity	 +8.63%	 +11.05%	 $250	 0.80%	  	4
CBAEX	 American Funds Balanced Portfolio 529E	 Allocation--50% to 70% Equity	 +8.51%	 +10.71%	 $250	 1.04%	  	4
CBAFX	 American Funds Balanced Portfolio 529F1	 Allocation--50% to 70% Equity	 +8.81%	 +11.36%	 $250	 0.58%	  	4
